,alpha,avg_net_reward,epsilon,final_deadline,gamma,net_reward,success
373,0.15,13.4706309524,0.1,5.18,1.0,14.06,0.39
374,0.2,22.8010059524,0.1,12.14,0.5,23.55,0.83
375,0.2,21.6425892857,0.1,10.65,0.55,22.78,0.77
376,0.2,23.6862400794,0.1,9.81,0.6,24.345,0.64
377,0.2,22.9019206349,0.1,8.26,0.65,23.19,0.66
378,0.2,22.7542261905,0.1,6.6,0.7,23.065,0.54
379,0.2,21.4932757937,0.1,12.01,0.75,22.085,0.84
380,0.2,20.170265873,0.1,8.31,0.8,21.47,0.61
381,0.2,19.8541646825,0.1,11.08,0.85,20.415,0.83
382,0.2,16.11525,0.1,10.2,0.9,16.675,0.7
383,0.2,20.9651071429,0.1,12.5,0.95,21.71,0.83
384,0.2,16.0346626984,0.1,7.05,1.0,15.935,0.49
385,0.25,20.6060218254,0.1,10.84,0.5,20.685,0.77
386,0.25,23.8828809524,0.1,9.14,0.55,24.7,0.58
387,0.25,22.7890297619,0.1,8.77,0.6,23.41,0.67
388,0.25,24.5332678571,0.1,9.25,0.65,24.79,0.66
389,0.25,20.3068313492,0.1,10.33,0.7,20.865,0.79
390,0.25,22.0236031746,0.1,10.66,0.75,22.54,0.69
391,0.25,21.8444206349,0.1,6.93,0.8,23.165,0.46
392,0.25,18.748890873,0.1,8.12,0.85,19.43,0.55
393,0.25,20.0392460317,0.1,11.78,0.9,20.14,0.88
394,0.25,21.016390873,0.1,8.29,0.95,21.23,0.65
395,0.25,15.8792142857,0.1,8.93,1.0,16.725,0.69
396,0.3,22.3816269841,0.1,9.18,0.5,23.07,0.76
397,0.3,19.1749702381,0.1,7.25,0.55,19.48,0.52
398,0.3,20.3502599206,0.1,5.74,0.6,20.725,0.38
399,0.3,22.4866904762,0.1,12.0,0.65,23.44,0.8
400,0.3,20.1552916667,0.1,9.88,0.7,20.57,0.7
401,0.3,22.8126130952,0.1,9.7,0.75,23.83,0.65
402,0.3,22.9106984127,0.1,8.09,0.8,23.955,0.59
403,0.3,19.8577123016,0.1,5.55,0.85,20.165,0.44
404,0.3,19.0385138889,0.1,5.8,0.9,19.675,0.44
405,0.3,20.454297619,0.1,7.26,0.95,21.695,0.48
406,0.3,20.7183174603,0.1,9.19,1.0,21.115,0.69
407,0.35,22.4368055556,0.1,8.7,0.5,22.475,0.6
408,0.35,21.9299662698,0.1,11.24,0.55,22.395,0.73
409,0.35,23.532702381,0.1,9.38,0.6,24.025,0.64
410,0.35,22.4657797619,0.1,9.48,0.65,22.77,0.69
411,0.35,22.0270535714,0.1,10.43,0.7,22.285,0.68
412,0.35,21.9864186508,0.1,7.9,0.75,22.27,0.61
413,0.35,23.7773888889,0.1,8.95,0.8,23.895,0.69
414,0.35,21.5964285714,0.1,9.04,0.85,22.615,0.6
415,0.35,20.0957420635,0.1,5.62,0.9,20.64,0.41
416,0.35,18.673922619,0.1,11.75,0.95,18.995,0.74
417,0.35,9.71684722222,0.1,4.98,1.0,10.325,0.33
418,0.4,21.3124583333,0.1,10.65,0.5,21.63,0.78
419,0.4,23.3007559524,0.1,9.36,0.55,23.52,0.64
420,0.4,21.6903234127,0.1,9.85,0.6,22.055,0.66
421,0.4,23.3914444444,0.1,7.2,0.65,23.43,0.54
422,0.4,22.5985912698,0.1,6.19,0.7,23.195,0.51
423,0.4,21.7608452381,0.1,6.51,0.75,22.215,0.5
424,0.4,24.1199384921,0.1,6.98,0.8,24.475,0.51
425,0.4,20.5099126984,0.1,4.13,0.85,21.065,0.25
426,0.4,20.8445436508,0.1,6.2,0.9,20.855,0.45
427,0.4,19.6187460317,0.1,8.17,0.95,19.87,0.55
428,0.4,16.3678630952,0.1,8.83,1.0,16.89,0.58
429,0.45,20.5473869048,0.1,9.62,0.5,20.66,0.69
430,0.45,22.8890396825,0.1,7.28,0.55,23.54,0.54
431,0.45,22.849422619,0.1,8.68,0.6,23.195,0.55
432,0.45,22.2225079365,0.1,6.17,0.65,22.635,0.43
433,0.45,22.927547619,0.1,4.42,0.7,22.89,0.33
434,0.45,19.6869107143,0.1,6.26,0.75,20.425,0.48
435,0.45,24.2279107143,0.1,6.64,0.8,24.975,0.52
436,0.45,20.7012261905,0.1,8.57,0.85,20.73,0.64
437,0.45,19.5373968254,0.1,9.4,0.9,20.25,0.67
438,0.45,13.4470297619,0.1,5.55,0.95,13.87,0.33
439,0.45,15.4943670635,0.1,7.26,1.0,15.81,0.54
440,0.5,20.4005376984,0.1,11.38,0.5,20.76,0.82
441,0.5,19.9736230159,0.1,7.89,0.55,20.155,0.56
442,0.5,17.4478849206,0.1,8.2,0.6,17.685,0.58
443,0.5,21.4647936508,0.1,6.8,0.65,21.815,0.5
444,0.5,18.7870436508,0.1,8.11,0.7,19.12,0.46
445,0.5,20.2327777778,0.1,9.07,0.75,20.515,0.6
446,0.5,21.2529801587,0.1,6.11,0.8,21.595,0.49
447,0.5,20.8359603175,0.1,10.45,0.85,21.28,0.72
448,0.5,22.235047619,0.1,6.28,0.9,22.045,0.45
449,0.5,15.2361269841,0.1,6.83,0.95,16.14,0.46
450,0.5,8.58904960317,0.1,5.74,1.0,8.755,0.4
451,0.55,19.9206924603,0.1,7.84,0.5,20.5,0.61
452,0.55,17.2132420635,0.1,6.64,0.55,17.735,0.42
453,0.55,20.5014107143,0.1,7.87,0.6,20.89,0.57
454,0.55,20.6280654762,0.1,4.89,0.65,20.675,0.35
455,0.55,22.5477936508,0.1,8.76,0.7,23.19,0.56
456,0.55,19.4429781746,0.1,7.96,0.75,19.82,0.59
457,0.55,17.4250853175,0.1,6.7,0.8,18.11,0.45
458,0.55,20.301172619,0.1,5.27,0.85,20.855,0.32
459,0.55,17.3718313492,0.1,7.17,0.9,17.61,0.48
460,0.55,17.3221805556,0.1,5.54,0.95,17.68,0.36
461,0.55,11.963218254,0.1,5.73,1.0,10.945,0.38
462,0.6,21.6866170635,0.1,9.69,0.5,21.565,0.73
463,0.6,21.7094047619,0.1,10.09,0.55,21.74,0.79
464,0.6,20.5786309524,0.1,8.28,0.6,21.17,0.64
465,0.6,19.1226547619,0.1,7.43,0.65,18.935,0.39
466,0.6,22.6043452381,0.1,7.3,0.7,22.595,0.57
467,0.6,17.3131805556,0.1,5.91,0.75,17.5,0.35
468,0.6,18.0818154762,0.1,3.74,0.8,19.17,0.29
469,0.6,20.0957103175,0.1,7.31,0.85,20.36,0.49
470,0.6,18.9635277778,0.1,8.59,0.9,18.9,0.59
471,0.6,16.3714781746,0.1,5.12,0.95,16.455,0.38
472,0.6,10.3795634921,0.1,5.84,1.0,10.355,0.39
473,0.65,21.0157539683,0.1,7.46,0.5,21.22,0.55
474,0.65,19.295468254,0.1,8.89,0.55,19.135,0.55
475,0.65,18.9882936508,0.1,8.26,0.6,19.14,0.56
476,0.65,20.2849642857,0.1,9.62,0.65,20.775,0.63
477,0.65,19.3572579365,0.1,4.73,0.7,19.095,0.32
478,0.65,19.1289781746,0.1,6.39,0.75,19.58,0.47
479,0.65,17.3957916667,0.1,4.09,0.8,18.05,0.36
480,0.65,19.3048194444,0.1,5.1,0.85,20.265,0.36
481,0.65,17.8851329365,0.1,8.13,0.9,18.795,0.55
482,0.65,15.4736805556,0.1,7.06,0.95,15.675,0.5
483,0.65,8.09423015873,0.1,5.48,1.0,7.7,0.34
484,0.7,15.8570714286,0.1,7.98,0.5,16.125,0.54
485,0.7,15.5961626984,0.1,5.48,0.55,16.055,0.38
486,0.7,18.7498551587,0.1,6.84,0.6,18.74,0.46
487,0.7,20.5542400794,0.1,7.88,0.65,20.735,0.58
488,0.7,16.0099305556,0.1,4.57,0.7,16.725,0.36
489,0.7,20.0695178571,0.1,3.89,0.75,21.165,0.27
490,0.7,17.1086150794,0.1,5.58,0.8,17.335,0.44
491,0.7,19.8824603175,0.1,5.04,0.85,20.07,0.34
492,0.7,19.1498670635,0.1,8.57,0.9,19.55,0.59
493,0.7,12.353734127,0.1,3.12,0.95,13.46,0.26
494,0.7,6.6787718254,0.1,4.38,1.0,6.365,0.27
495,0.0,3.3143015873,0.15,2.45,0.5,3.18,0.14
496,0.0,-6.5659047619,0.15,4.08,0.55,-6.46,0.25
497,0.0,7.6755734127,0.15,2.34,0.6,7.45,0.19
498,0.0,-5.267,0.15,5.36,0.65,-5.015,0.35
499,0.0,-3.05227777778,0.15,4.5,0.7,-2.9,0.27
500,0.0,-13.704202381,0.15,3.29,0.75,-13.295,0.15
501,0.0,8.88513888889,0.15,12.59,0.8,8.63,0.7
502,0.0,-1.49005357143,0.15,4.37,0.85,-1.515,0.32
503,0.0,23.238890873,0.15,10.91,0.9,23.265,0.81
504,0.0,14.6880059524,0.15,3.25,0.95,14.34,0.3
505,0.0,10.7898452381,0.15,6.85,1.0,10.85,0.6
506,0.05,21.269765873,0.15,11.7,0.5,21.54,0.87
507,0.05,20.0027321429,0.15,9.88,0.55,20.505,0.72
508,0.05,19.0491190476,0.15,10.91,0.6,19.965,0.84
509,0.05,20.1675099206,0.15,8.58,0.65,21.475,0.58
510,0.05,15.8931448413,0.15,4.58,0.7,17.115,0.34
511,0.05,21.6292043651,0.15,7.86,0.75,22.295,0.55
512,0.05,18.2498849206,0.15,9.31,0.8,18.75,0.75
513,0.05,20.763625,0.15,8.18,0.85,22.0,0.52
514,0.05,19.2903730159,0.15,11.84,0.9,19.94,0.74
515,0.05,19.5714325397,0.15,7.37,0.95,20.24,0.55
516,0.05,8.59724404762,0.15,4.38,1.0,8.85,0.28
517,0.1,19.491015873,0.15,9.82,0.5,20.055,0.65
518,0.1,20.822765873,0.15,11.91,0.55,21.785,0.76
519,0.1,22.4110615079,0.15,9.99,0.6,23.31,0.75
520,0.1,21.1824285714,0.15,6.61,0.65,21.805,0.44
521,0.1,18.778702381,0.15,7.3,0.7,19.945,0.5
522,0.1,21.4436884921,0.15,5.49,0.75,22.51,0.42
523,0.1,21.7558650794,0.15,7.15,0.8,22.635,0.62
524,0.1,18.4425257937,0.15,7.72,0.85,19.065,0.63
525,0.1,20.6679623016,0.15,7.04,0.9,21.005,0.53
526,0.1,16.5423730159,0.15,6.59,0.95,17.445,0.51
527,0.1,14.827702381,0.15,4.93,1.0,15.52,0.41
528,0.15,19.0852519841,0.15,10.53,0.5,19.795,0.75
529,0.15,19.8115238095,0.15,7.51,0.55,20.715,0.55
530,0.15,21.7975873016,0.15,11.98,0.6,22.28,0.82
531,0.15,19.304531746,0.15,7.02,0.65,20.065,0.54
532,0.15,20.1680019841,0.15,6.1,0.7,20.89,0.42
533,0.15,21.8935654762,0.15,11.51,0.75,21.93,0.8
534,0.15,22.3934305556,0.15,11.97,0.8,23.21,0.76
535,0.15,19.789343254,0.15,10.92,0.85,20.515,0.79
536,0.15,14.8152896825,0.15,6.2,0.9,15.245,0.4
537,0.15,16.1537996032,0.15,5.21,0.95,16.615,0.46
538,0.15,20.0659365079,0.15,10.59,1.0,20.5,0.72
539,0.2,22.2561527778,0.15,12.85,0.5,22.55,0.85
540,0.2,20.4583809524,0.15,10.79,0.55,20.765,0.76
541,0.2,21.8327738095,0.15,9.31,0.6,22.88,0.69
542,0.2,23.6631626984,0.15,8.04,0.65,23.89,0.65
543,0.2,21.268656746,0.15,10.41,0.7,21.985,0.72
544,0.2,23.4679642857,0.15,6.9,0.75,24.38,0.52
545,0.2,21.422906746,0.15,7.64,0.8,21.885,0.57
546,0.2,22.3123809524,0.15,4.71,0.85,23.24,0.39
547,0.2,21.1481269841,0.15,10.69,0.9,21.94,0.66
548,0.2,21.0136686508,0.15,9.62,0.95,21.275,0.69
549,0.2,18.057672619,0.15,8.62,1.0,18.8,0.69
550,0.25,22.2429662698,0.15,8.74,0.5,22.845,0.61
551,0.25,21.5444305556,0.15,9.28,0.55,22.355,0.67
552,0.25,22.5944960317,0.15,8.56,0.6,23.35,0.63
553,0.25,21.3846904762,0.15,9.93,0.65,22.035,0.72
554,0.25,19.8522678571,0.15,6.82,0.7,20.67,0.4
555,0.25,22.2083035714,0.15,8.18,0.75,22.575,0.58
556,0.25,19.477515873,0.15,5.54,0.8,19.885,0.43
557,0.25,20.2532519841,0.15,5.14,0.85,20.655,0.39
558,0.25,24.154531746,0.15,7.77,0.9,24.155,0.64
559,0.25,21.6344345238,0.15,7.4,0.95,21.9,0.55
560,0.25,14.0086904762,0.15,5.94,1.0,14.195,0.45
561,0.3,20.4028214286,0.15,8.34,0.5,21.15,0.55
562,0.3,20.5465396825,0.15,9.66,0.55,21.245,0.67
563,0.3,20.9644206349,0.15,8.13,0.6,21.695,0.57
564,0.3,22.1203849206,0.15,8.86,0.65,22.29,0.56
565,0.3,19.7852738095,0.15,6.56,0.7,19.97,0.48
566,0.3,19.5735615079,0.15,10.8,0.75,19.92,0.66
567,0.3,20.3113968254,0.15,7.19,0.8,21.165,0.51
568,0.3,21.0025515873,0.15,7.43,0.85,21.86,0.55
569,0.3,18.4348730159,0.15,6.09,0.9,18.755,0.4
570,0.3,20.1438988095,0.15,8.85,0.95,20.485,0.6
571,0.3,13.5038849206,0.15,5.05,1.0,13.9,0.4
572,0.35,20.6030099206,0.15,10.44,0.5,20.755,0.71
573,0.35,19.554109127,0.15,6.67,0.55,20.63,0.51
574,0.35,20.6635,0.15,7.52,0.6,20.88,0.57
575,0.35,20.9326845238,0.15,6.01,0.65,22.215,0.47
576,0.35,20.4794404762,0.15,2.05,0.7,20.825,0.27
577,0.35,19.5632162698,0.15,5.95,0.75,20.115,0.5
578,0.35,21.5922698413,0.15,7.15,0.8,21.26,0.57
579,0.35,18.7196468254,0.15,6.02,0.85,19.385,0.45
580,0.35,18.3125674603,0.15,8.17,0.9,18.975,0.65
581,0.35,21.5090952381,0.15,7.62,0.95,21.075,0.57
582,0.35,14.3755496032,0.15,6.5,1.0,14.86,0.46
583,0.4,21.5381269841,0.15,7.33,0.5,21.88,0.58
584,0.4,22.5797797619,0.15,9.36,0.55,23.19,0.67
585,0.4,21.8691031746,0.15,8.09,0.6,21.845,0.54
586,0.4,23.6899047619,0.15,8.45,0.65,23.615,0.6
587,0.4,20.9290119048,0.15,8.87,0.7,20.75,0.66
588,0.4,21.7582043651,0.15,6.4,0.75,22.565,0.52
589,0.4,18.3325059524,0.15,4.49,0.8,18.975,0.26
590,0.4,22.0300793651,0.15,9.68,0.85,22.505,0.64
591,0.4,16.7414742063,0.15,8.7,0.9,17.22,0.52
592,0.4,18.326202381,0.15,9.38,0.95,18.33,0.59
593,0.4,16.1694722222,0.15,7.86,1.0,16.245,0.56
594,0.45,19.7094126984,0.15,7.29,0.5,19.15,0.52
595,0.45,21.4148234127,0.15,10.13,0.55,21.73,0.78
596,0.45,18.8939642857,0.15,7.33,0.6,18.82,0.53
597,0.45,19.8384365079,0.15,7.1,0.65,20.17,0.54
598,0.45,21.5309087302,0.15,7.9,0.7,21.595,0.46
599,0.45,19.3519246032,0.15,6.18,0.75,19.975,0.4
600,0.45,20.4366269841,0.15,8.64,0.8,21.23,0.52
601,0.45,19.6591924603,0.15,6.77,0.85,19.405,0.51
602,0.45,16.9309206349,0.15,6.48,0.9,16.88,0.47
603,0.45,15.7047718254,0.15,5.43,0.95,16.55,0.48
604,0.45,13.3063849206,0.15,5.47,1.0,12.915,0.38
605,0.5,19.9700833333,0.15,7.13,0.5,20.285,0.59
606,0.5,20.6664702381,0.15,9.62,0.55,20.895,0.62
607,0.5,21.0008353175,0.15,9.75,0.6,21.415,0.67
608,0.5,17.3179464286,0.15,6.32,0.65,17.615,0.44
609,0.5,18.1079126984,0.15,4.31,0.7,18.315,0.35
610,0.5,19.379859127,0.15,3.97,0.75,19.805,0.35
611,0.5,21.7372281746,0.15,6.13,0.8,22.13,0.53
612,0.5,20.9197162698,0.15,10.08,0.85,21.015,0.64
613,0.5,18.1461666667,0.15,5.86,0.9,18.31,0.44
614,0.5,16.9779047619,0.15,6.98,0.95,17.775,0.51
615,0.5,10.6369027778,0.15,5.16,1.0,10.53,0.35
616,0.55,15.4395079365,0.15,4.94,0.5,15.775,0.39
617,0.55,18.0112896825,0.15,8.47,0.55,18.13,0.56
618,0.55,21.2619623016,0.15,8.29,0.6,21.47,0.59
619,0.55,18.2765873016,0.15,6.06,0.65,18.955,0.46
620,0.55,16.4174980159,0.15,6.97,0.7,16.405,0.5
621,0.55,18.7487162698,0.15,8.45,0.75,18.835,0.57
622,0.55,19.0268134921,0.15,5.55,0.8,19.01,0.39
623,0.55,17.34,0.15,6.02,0.85,17.775,0.52
624,0.55,17.4048234127,0.15,7.5,0.9,17.5,0.52
625,0.55,15.6199980159,0.15,7.23,0.95,16.165,0.55
626,0.55,11.690952381,0.15,6.89,1.0,11.29,0.42
627,0.6,19.6665019841,0.15,9.55,0.5,20.625,0.68
628,0.6,19.8368234127,0.15,9.34,0.55,20.335,0.72
629,0.6,19.6816269841,0.15,6.51,0.6,19.96,0.44
630,0.6,22.0540912698,0.15,7.25,0.65,22.215,0.51
631,0.6,17.1062222222,0.15,5.66,0.7,17.62,0.36
632,0.6,18.3630496032,0.15,6.47,0.75,18.615,0.45
633,0.6,18.2686130952,0.15,4.95,0.8,18.52,0.4
634,0.6,18.045906746,0.15,4.59,0.85,17.895,0.35
635,0.6,16.2937539683,0.15,7.97,0.9,17.11,0.45
636,0.6,15.4108333333,0.15,6.23,0.95,15.985,0.43
637,0.6,11.3269861111,0.15,6.21,1.0,10.8,0.43
638,0.65,19.857702381,0.15,7.09,0.5,20.06,0.53
639,0.65,17.8017857143,0.15,6.85,0.55,17.715,0.52
640,0.65,16.8253035714,0.15,6.95,0.6,16.93,0.42
641,0.65,16.4872837302,0.15,6.01,0.65,17.085,0.41
642,0.65,17.1429503968,0.15,5.15,0.7,17.135,0.41
643,0.65,18.8151865079,0.15,4.76,0.75,19.64,0.39
644,0.65,19.0042003968,0.15,4.97,0.8,18.705,0.43
645,0.65,17.8841369048,0.15,4.3,0.85,18.145,0.29
646,0.65,16.1673154762,0.15,4.73,0.9,16.505,0.36
647,0.65,16.272547619,0.15,6.79,0.95,16.435,0.51
648,0.65,7.50449801587,0.15,2.13,1.0,7.335,0.13
649,0.7,14.3821011905,0.15,5.09,0.5,14.37,0.38
650,0.7,17.1247242063,0.15,6.46,0.55,16.66,0.47
651,0.7,16.1051170635,0.15,5.19,0.6,16.44,0.46
652,0.7,19.0276785714,0.15,7.27,0.65,18.66,0.48
653,0.7,17.5695257937,0.15,4.63,0.7,18.065,0.36
654,0.7,20.3249484127,0.15,4.5,0.75,20.34,0.39
655,0.7,19.5437936508,0.15,6.6,0.8,19.62,0.49
656,0.7,19.143875,0.15,6.57,0.85,19.46,0.47
657,0.7,16.5171547619,0.15,3.9,0.9,16.425,0.36
658,0.7,15.4339265873,0.15,5.42,0.95,15.88,0.42
659,0.7,10.5675416667,0.15,5.79,1.0,10.94,0.39
660,0.0,8.01513492063,0.2,7.72,0.5,8.43,0.48
661,0.0,-9.54485714286,0.2,4.49,0.55,-9.79,0.24
662,0.0,9.54384325397,0.2,5.92,0.6,9.34,0.49
663,0.0,8.10036111111,0.2,6.37,0.65,8.055,0.47
664,0.0,-1.10340277778,0.2,0.67,0.7,-0.85,0.06
665,0.0,-1.39038095238,0.2,1.68,0.75,-1.615,0.07
666,0.0,-9.15398611111,0.2,1.5,0.8,-8.88,0.08
667,0.0,-9.71288690476,0.2,3.43,0.85,-9.635,0.16
668,0.0,-1.31304563492,0.2,3.99,0.9,-0.73,0.29
669,0.0,9.75399007937,0.2,6.48,0.95,9.735,0.5
670,0.0,11.9125833333,0.2,7.62,1.0,11.855,0.63
671,0.05,19.508968254,0.2,6.65,0.5,20.445,0.51
672,0.05,17.6981686508,0.2,9.11,0.55,18.355,0.72
673,0.05,17.321452381,0.2,10.61,0.6,17.98,0.77
674,0.05,21.4237123016,0.2,7.93,0.65,21.965,0.53
675,0.05,21.0585416667,0.2,8.2,0.7,22.245,0.54
676,0.05,17.4611289683,0.2,6.42,0.75,17.505,0.43
677,0.05,18.5978809524,0.2,11.86,0.8,19.33,0.86
678,0.05,16.6324960317,0.2,9.53,0.85,17.52,0.72
679,0.05,15.341109127,0.2,7.56,0.9,15.935,0.6
680,0.05,14.4779960317,0.2,6.14,0.95,14.88,0.44
681,0.05,17.7871626984,0.2,8.43,1.0,18.095,0.64
682,0.1,18.9195873016,0.2,9.54,0.5,19.755,0.71
683,0.1,20.975047619,0.2,9.6,0.55,21.535,0.71
684,0.1,19.7447638889,0.2,8.9,0.6,19.88,0.66
685,0.1,17.8179424603,0.2,11.53,0.65,18.91,0.74
686,0.1,19.962640873,0.2,8.42,0.7,20.89,0.6
687,0.1,18.6665992063,0.2,8.58,0.75,19.775,0.59
688,0.1,20.5035119048,0.2,8.6,0.8,20.96,0.61
689,0.1,19.2442400794,0.2,9.21,0.85,20.05,0.6
690,0.1,17.7606130952,0.2,9.29,0.9,18.105,0.7
691,0.1,15.2643551587,0.2,7.81,0.95,16.4,0.54
692,0.1,7.78023015873,0.2,1.93,1.0,8.575,0.11
693,0.15,21.7722797619,0.2,9.02,0.5,21.795,0.67
694,0.15,19.6080654762,0.2,9.07,0.55,20.425,0.61
695,0.15,20.2403373016,0.2,7.9,0.6,20.44,0.53
696,0.15,22.3731111111,0.2,8.02,0.65,22.81,0.57
697,0.15,19.601781746,0.2,10.58,0.7,20.165,0.69
698,0.15,21.3323928571,0.2,11.16,0.75,21.52,0.77
699,0.15,19.4539027778,0.2,9.33,0.8,20.17,0.66
700,0.15,19.9193690476,0.2,4.37,0.85,20.295,0.3
701,0.15,19.5507321429,0.2,9.64,0.9,19.69,0.64
702,0.15,19.9626646825,0.2,5.41,0.95,20.405,0.45
703,0.15,22.0810297619,0.2,6.93,1.0,22.26,0.57
704,0.2,19.8603075397,0.2,7.25,0.5,20.415,0.52
705,0.2,22.0915793651,0.2,9.84,0.55,22.06,0.71
706,0.2,21.642625,0.2,8.17,0.6,21.96,0.6
707,0.2,19.4528353175,0.2,5.83,0.65,20.21,0.47
708,0.2,20.2854246032,0.2,8.97,0.7,20.235,0.66
709,0.2,17.8585099206,0.2,6.71,0.75,18.93,0.45
710,0.2,20.3111607143,0.2,8.89,0.8,21.03,0.62
711,0.2,21.2917896825,0.2,9.36,0.85,21.84,0.62
712,0.2,17.527015873,0.2,8.35,0.9,18.445,0.59
713,0.2,18.8844662698,0.2,8.69,0.95,19.705,0.58
714,0.2,20.1750654762,0.2,10.33,1.0,20.38,0.78
715,0.25,20.9239345238,0.2,9.06,0.5,21.455,0.64
716,0.25,20.8441765873,0.2,7.44,0.55,21.51,0.49
717,0.25,21.0671170635,0.2,8.12,0.6,21.975,0.65
718,0.25,22.7433769841,0.2,6.45,0.65,23.13,0.57
719,0.25,18.7102162698,0.2,5.26,0.7,18.96,0.4
720,0.25,21.3175595238,0.2,4.8,0.75,21.645,0.45
721,0.25,21.7310396825,0.2,6.03,0.8,21.75,0.43
722,0.25,17.6538412698,0.2,6.48,0.85,18.14,0.48
723,0.25,18.8418015873,0.2,5.8,0.9,19.375,0.37
724,0.25,13.7352698413,0.2,4.61,0.95,14.325,0.34
725,0.25,17.7033134921,0.2,9.37,1.0,18.19,0.64
726,0.3,20.758922619,0.2,11.68,0.5,21.085,0.71
727,0.3,20.2935734127,0.2,6.31,0.55,20.915,0.53
728,0.3,20.3664583333,0.2,8.7,0.6,21.045,0.66
729,0.3,21.3988095238,0.2,8.69,0.65,21.04,0.64
730,0.3,18.6166448413,0.2,6.2,0.7,19.425,0.43
731,0.3,23.2871150794,0.2,8.91,0.75,23.305,0.64
732,0.3,17.6848234127,0.2,6.41,0.8,18.67,0.46
733,0.3,16.6923531746,0.2,5.56,0.85,17.285,0.4
734,0.3,17.5266865079,0.2,4.26,0.9,18.195,0.37
735,0.3,18.0942956349,0.2,6.89,0.95,18.65,0.48
736,0.3,15.7041111111,0.2,6.74,1.0,15.095,0.5
737,0.35,21.7830337302,0.2,9.2,0.5,22.13,0.63
738,0.35,20.2975972222,0.2,8.55,0.55,20.61,0.59
739,0.35,19.3007142857,0.2,7.47,0.6,20.01,0.56
740,0.35,21.6461210317,0.2,9.5,0.65,21.785,0.64
741,0.35,21.7875218254,0.2,7.15,0.7,22.38,0.48
742,0.35,20.1795793651,0.2,6.89,0.75,20.21,0.47
743,0.35,18.6947996032,0.2,6.74,0.8,19.575,0.51
744,0.35,19.2918730159,0.2,4.13,0.85,19.62,0.29
745,0.35,18.2390694444,0.2,8.68,0.9,19.04,0.58
